,towns,lon,lat
1,"Abingdon, Maryland",-76.2772223,39.4622357
2,"Abingdon, Pennsylvania",-75.1253492,40.1198332
3,"Abington, Maryland",-76.2772223,39.4622357
4,"Abington, Massachusetts",-70.9453218,42.1048228
5,"Achilles, Illinois",-87.6986551,41.5188817
6,"Acton, Massachusetts",-71.43284,42.4850931
7,"Acton, Vermont",-72.5232491,43.8206804
8,"Adams, Massachusetts",-73.1174344,42.6242251
9,"Adams, New York",-76.0240892,43.8092321
10,"Addison, Maine",-67.7441645,44.6184102
11,"Addison, Massachusetts",-70.7725938,42.6258008
12,"Addison, New York",-77.2335879,42.1028514
13,"Addison, Vermont",-73.302622,44.0886671
14,"Albany, Maine",-71.1843862,43.9596314
15,"Albany, Massachusetts",-73.8628186,42.7423082
16,"Albany, New York",-73.7562317,42.6525793
17,"Albany, Vermont",-72.3798076,44.7309405
18,"Albion, Illinois",-88.0561465,38.3775484
19,"Albion, Maine",-69.4425423,44.5322902
20,"Alburgh, Vermont",-73.3002239,44.9750541
21,"Alexander, Illinois",-90.0390073,39.7242387
22,"Alexandria, Pennsylvania",-78.0977847,40.5564586
23,"Alford, Massachusetts",-73.4134456,42.2356442
24,"Alfred, Maine",-70.7161687,43.4764994
25,"Alfred, Massachusetts",-71.1535096,42.5015769
26,"Alfred, New York",-77.7905509,42.2542366
27,"Allegheny, Pennsylvania",-80.0087746,40.4450813
28,"Allenstown, Pennsylvania",-75.4901833,40.6084305
29,"Allentown, Pennsylvania",-75.4901833,40.6084305
30,"Allison, Illinois",-87.5593613,38.7323788
31,"Alma, Massachusetts",-70.596388,41.5549571
32,"Alna, Maine",-69.6036567,44.1061869
33,"Alstead, New Hampshire",-72.3614201,43.149481
34,"Alton, Illinois",-90.1842764,38.8906038
35,"Amenia, New York",-73.5567918,41.8492599
36,"Amesbury, Massachusetts",-70.9300376,42.8583925
37,"Amesterdam, New York",-74.190356,42.9377453
38,"Amherst, Massachusetts",-72.4968189,42.3403799
39,"Amherst, New Hampshire",-71.6253487,42.8614748
40,"Amity, Pennsylvania",-80.2050603,40.0395169
41,"Amsterdam, New York",-74.190356,42.9377453
42,"Andersonville, South Carolina",-82.8857594,34.4919575
43,"Andover, Maine",-70.7511813,44.6356166
44,"Andover, Massachusetts",-71.1367953,42.6583356
45,"Andover, Vermont",-72.6965278,43.2773586
46,"Angelica, New York",-78.0158388,42.3067345
47,"Annville, Pennsylvania",-76.5152443,40.3295359
48,"Anson, Maine",-69.8892408,44.7983618
49,"Anson, Massachusetts",-70.8800187,42.0751892
50,"Antoine, Arkansas",-93.4207343,34.0362152
51,"Antwerp, New York",-75.6068791,44.1992272
52,"Apple Creek, Illinois",-89.7378784,37.5825511
53,"Arguyle, New York",-73.4915018,43.2378519
54,"Argyle, New York",-73.4915018,43.2378519
55,"Arkansas, Arkansas",-91.8318334,35.20105
56,"Arlington, Vermont",-73.1539954,43.0747996
57,"Armenia, New York",-76.860565,41.7457578
58,"Arminia, New York",-76.860565,41.7457578
59,"Arrow Rock, Missouri",-92.9465808,39.0697466
60,"Arundel, Maine",-70.5141622,43.4243008
61,"Arundel, Massachusetts",-71.0583141,42.4804333
62,"Ashburnham, Massachusetts",-71.9097394,42.635545
63,"Ashby, Massachusetts",-71.8187139,42.6772767
64,"Ashfield, Massachusetts",-72.788426,42.5264745
65,"Ashford, Connecticut",-72.1216163,41.8730657
66,"Athal, Massachusetts",-72.2267383,42.5959329
67,"Athens, Illinois",-89.7239944,39.9608826
68,"Athens, Maine",-69.6728296,44.9231142
69,"Athens, Massachusetts",-71.0588801,42.3600825
70,"Athens, New York",-73.8095707,42.2603648
71,"Athens, Vermont",-72.5679089,43.1330826
72,"Athol, Massachusetts",-72.2267383,42.5959329
73,"Atkinson, Maine",-69.0910809,45.1868588
74,"Atkinson, Massachusetts",-71.1470037,42.8384221
75,"Atkinson, New Hampshire",-71.1470037,42.8384221
76,"Attleborough, Massachusetts",-71.354621,41.897943
77,"Auburn, New York",-76.5660529,42.9317335
78,"Augusta, Maine",-69.7794897,44.3106241
79,"Augusta, Massachusetts",-71.368623,42.630938
80,"Augusta, New York",-75.5012871,42.9747916
81,"Aurelius, New York",-76.7105632,42.9188489
82,"Aureluis, New York",-76.7105632,42.9188489
83,"Aurora, Illinois",-88.3200715,41.7605849
84,"Auxvasse, Missouri",-91.8971198,39.0180962
85,"Avon, Maine",-70.2711766,44.8061682
86,"Avon, Massachusetts",-71.0411582,42.1306554
87,"Baelstown, New York",-73.8654295,42.9653961
88,"Bakersfield, Vermont",-72.8029085,44.7819927
89,"Bakerston, Massachusetts",-71.3824374,42.4072107
90,"Bakerstown, Massachusetts",-71.3824374,42.4072107
91,"Bald Eagle Township, Pennsylvania",-77.5390127,41.1425579
92,"Bald Eagle, Pennsylvania",-78.183899,40.72263
93,"Baldwin, Maine",-70.7359395,43.8182922
94,"Baldwin, Massachusetts",-73.6433687,40.6103739
95,"Ballston, Massachusetts",-73.874026,42.855483
96,"Ballston, New York",-73.8654295,42.9653961
97,"Ballstown, Massachusetts",-73.874026,42.855483
98,"Ballstown, New York",-73.8654295,42.9653961
99,"Balltown, Massachusetts",-71.3824374,42.4072107
100,"Baltimore, Maryland",-76.6121893,39.2903848
101,"Baltimore, Vermont",-72.5724379,43.3603629
102,"Bangor, Maine",-68.7778138,44.8011821
103,"Bangor, Massachusetts",-71.7647071,42.2526421
104,"Bangor, New York",-74.3973963,44.8122731
105,"Barkhamstead, Connecticut",-72.9139904,41.9292629
106,"Barkman Town, New York",-74.0059413,40.7127837
107,"Barnard, Vermont",-72.6189876,43.728679
108,"Barnardston, Massachusetts",-72.5483277,42.6710048
109,"Barnet, Vermont",-72.0493779,44.2968323
110,"Barnstable, Massachusetts",-70.3002024,41.7003208
111,"Barnstead, New Hampshire",-71.2782381,43.3389194
112,"Barre, Massachusetts",-72.1051002,42.4229047
113,"Barre, Vermont",-72.5020494,44.1970055
114,"Barrington, New Hampshire",-71.0470077,43.2228599
115,"Barrington, Rhode Island",-71.308609,41.7406798
116,"Barrows Ferry, Florida",-81.5157535,27.6648274
117,"Barton, Vermont",-72.176258,44.7480805
118,"Bass's, Missouri",-91.8318334,37.9642529
119,"Batavia, New York",-78.1875167,42.9981156
120,"Bath, Maine",-69.8206023,43.9106353
121,"Bath, Massachusetts",-90.376397,40.128386
122,"Bath, New York",-77.3177577,42.3370164
123,"Battle-Swamp, Maryland",-76.5930557,38.4945782
124,"Beaconfield, Massachusetts",-71.140823,42.335846
125,"Beaucoup, Illinois",-89.2920249,38.3497721
126,"Beauf, Missouri",-91.8318334,37.9642529
127,"Beaufort, North Carolina",-76.6638186,34.7182174
128,"Beaufort, South Carolina",-80.6698286,32.4315813
129,"Beaver Town, Pennsylvania",-80.3047846,40.6953437
130,"Beaver, Pennsylvania",-80.3047846,40.6953437
131,"Beaverstown, Pennsylvania",-77.1945247,41.2033216
132,"Beavertown, Pennsylvania",-77.1694299,40.7536912
