x,towns,lon,lat
1,"Abington, Massachusetts",-70.9453218,42.1048228
2,"Acton, Massachusetts",-71.43284,42.4850931
3,"Acton, Vermont",-72.5232491,43.8206804
4,"Adams, Massachusetts",-73.1174344,42.6242251
5,"Adams, New York",-76.0240892,43.8092321
6,"Addison, Maine",-67.7441645,44.6184102
7,"Addison, Massachusetts",-70.7725938,42.6258008
8,"Addison, New York",-77.2335879,42.1028514
9,"Addison, Vermont",-73.302622,44.0886671
10,"Albany, Maine",-71.1843862,43.9596314
11,"Albany, Massachusetts",-73.8628186,42.7423082
12,"Albany, New York",-73.7562317,42.6525793
13,"Albany, Vermont",-72.3798076,44.7309405
14,"Albion, Maine",-69.4425423,44.5322902
15,"Alburgh, Vermont",-73.3002239,44.9750541
16,"Alford, Massachusetts",-73.4134456,42.2356442
17,"Alfred, Maine",-70.7161687,43.4764994
18,"Alfred, Massachusetts",-71.1535096,42.5015769
19,"Alfred, New York",-77.7905509,42.2542366
20,"Alma, Massachusetts",-70.596388,41.5549571
21,"Alna, Maine",-69.6036567,44.1061869
22,"Alstead, New Hampshire",-72.3614201,43.149481
23,"Amenia, New York",-73.5567918,41.8492599
24,"Amesbury, Massachusetts",-70.9300376,42.8583925
25,"Amesterdam, New York",-74.190356,42.9377453
26,"Amherst, Massachusetts",-72.4968189,42.3403799
27,"Amherst, New Hampshire",-71.6253487,42.8614748
28,"Amsterdam, New York",-74.190356,42.9377453
29,"Andover, Maine",-70.7511813,44.6356166
30,"Andover, Massachusetts",-71.1367953,42.6583356
31,"Andover, Vermont",-72.6965278,43.2773586
32,"Angelica, New York",-78.0158388,42.3067345
33,"Anson, Maine",-69.8892408,44.7983618
34,"Anson, Massachusetts",-70.8800187,42.0751892
35,"Antwerp, New York",-75.6068791,44.1992272
36,"Arguyle, New York",-73.4915018,43.2378519
37,"Argyle, New York",-73.4915018,43.2378519
38,"Arlington, Vermont",-73.1539954,43.0747996
39,"Armenia, New York",-76.860565,41.7457578
40,"Arminia, New York",-76.860565,41.7457578
41,"Arundel, Maine",-70.5141622,43.4243008
42,"Arundel, Massachusetts",-71.0583141,42.4804333
43,"Ashburnham, Massachusetts",-71.9097394,42.635545
44,"Ashby, Massachusetts",-71.8187139,42.6772767
45,"Ashfield, Massachusetts",-72.788426,42.5264745
46,"Ashford, Connecticut",-72.1216163,41.8730657
47,"Athal, Massachusetts",-72.2267383,42.5959329
48,"Athens, Maine",-69.6728296,44.9231142
49,"Athens, Massachusetts",-71.0588801,42.3600825
50,"Athens, New York",-73.8095707,42.2603648
51,"Athens, Vermont",-72.5679089,43.1330826
52,"Athol, Massachusetts",-72.2267383,42.5959329
53,"Atkinson, Maine",-69.0910809,45.1868588
54,"Atkinson, Massachusetts",-71.1470037,42.8384221
